Matricule;Nom;Prenom;Adresse;Ville;CodePostal;Tel1;Tel2;Tel3
20900;GENDRON;BERTRAND;12 GUINDON;MONTREAL;H2K3J6;514-489-4056;514-894-5056;514-894-6056
21000;GERVAIS;MICHEL;4361 AUTEUIL;MONTREAL;H1S6J8;514-489-4071;514-894-5071;514-894-6071
21100;GILBERT;PHILIPPE;1429 HUARD;LAVAL;J4M50P;514-489-4022;514-894-5022;514-894-6022
30000;GINGRAS;ELLIOT;123 SAINT-JEAN;VERDUN;J2G0N3;514-489-4048;514-894-5048;514-894-6048
30100;GIROUX;SIMON;122 RATELLE;LONGUEUIL;J8G2G5;514-489-4014;514-894-5014;514-894-6014
30200;GOULET;DANIEL;4900 BISSON;MONTREAL;H1U7F7;514-489-4037;514-894-5037;514-894-6037
30300;GRAVEL;ELLIOT;123 SAINT-JEAN;VERDUN;J2G0N3;514-489-4008;514-894-5008;514-894-6008
30400;GUAY;PASCAL;4430 THIBEAULT;LAVAL;J5J8G4;514-489-4015;514-894-5015;514-894-6015
30500;HAMEL;ANTHONY;11259 HARVEY;MONTREAL;H4B6F2;514-489-4004;514-894-5004;514-894-6004
30600;HAMELIN;FRANCOIS;4355 VERONNEAU;LONGUEUIL;J8W3G7;514-489-4051;514-894-5051;514-894-6051
30700;HARVEY;ETIENNE;12 ROY;MONTREAL;H5J8G4;514-489-4053;514-894-5053;514-894-6053
30800;HOULE;LUC;1223 PAINSON;ST-LAURENT;H4G0N3;514-489-4005;514-894-5005;514-894-6005
30900;HUARD;JORDAN;4428 GAUTHIER;MONTREAL;H9G2G5;514-489-4009;514-894-5009;514-894-6009
31000;JACQUES;GENEVIEVE;458 BOUDREAU;LAVAL;J2G0N3;514-489-4032;514-894-5032;514-894-6032
31100;JEAN;ANDRE;4355 VERONNEAU;LONGUEUIL;J2A9F3;514-489-4024;514-894-5024;514-894-6024
40000;LABELLE;JORDAN;4356 LACHANCE;LONGUEUIL;J3D5G7;514-489-4030;514-894-5030;514-894-6030
40100;LACROIX;MICHEL;4361 AUTEUIL;MONTREAL;H1S6J8;514-489-4031;514-894-5031;514-894-6031
40200;LADOUCEUR;GABRIEL;3322 NADEAU;ST-LAURENT;H3B6F2;514-489-4065;514-894-5065;514-894-6065
40300;LAFLAMME;TARIK;122 RATELLE;LONGUEUIL;J2S3D2;514-489-4058;514-894-5058;514-894-6058
40400;LALONDE;DANIEL;3328 TEYMOURIAN;LAVAL;J6D2R7;514-489-4043;514-894-5043;514-894-6043
40500;LAMBERT;OLIVIER;4354 COUTURE;LONGUEUIL;J3D6H8;514-489-4019;514-894-5019;514-894-6019
40600;LAPIERRE;JONATAN;1427 MORSE;MONTREAL;H2F4V6;514-489-4040;514-894-5040;514-894-6040
40700;LAROCHE;BENOIT;4357 BERUBE;MONTREAL;H5F6G7;514-489-4073;514-894-5073;514-894-6073
40800;LAROUCHE;GABRIEL;3322 NADEAU;ST-LAURENT;H3B6F2;514-489-4025;514-894-5025;514-894-6025
40900;LAUZON;SIMON;122 RATELLE;LONGUEUIL;J8G2G5;514-489-4054;514-894-5054;514-894-6054
41000;LEBRUN;PHILIPPE;1429 HUARD;LAVAL;J4M50P;514-489-4062;514-894-5062;514-894-6062
41100;LEDUC;BERTRAND;12 GUINDON;MONTREAL;H2K3J6;514-489-4016;514-894-5016;514-894-6016
50000;LEGAULT;YANNICK;4429 GUERIN;MONTREAL;H2N5G6;514-489-4026;514-894-5026;514-894-6026
50100;LEMAY;LUC;4358 VILLA;LONGUEUIL;J2F7H2;514-489-4010;514-894-5010;514-894-6010
50200;LEPAGE;SIMON;4429 GUERIN;MONTREAL;H2N5G6;514-489-4066;514-894-5066;514-894-6066
50300;LUSSIER;MATHIEU;600 CHAREST;BOUCHEVILLE;J1U7F7;514-489-4067;514-894-5067;514-894-6067
50400;MOREAU;BENOIT;4357 BERUBE;MONTREAL;H5F6G7;514-489-4033;514-894-5033;514-894-6033
50500;MORISSETTE;ERIC;2345 ST-MARTIN;BOUCHEVILLE;J7S3D3;514-489-4074;514-894-5074;514-894-6074
50600;NGUYEN;PASCAL;4430 THIBEAULT;LAVAL;J5J8G4;514-489-4055;514-894-5055;514-894-6055
50700;PAGEAU;ETIENNE;12 ROY;MONTREAL;H5J8G4;514-489-4013;514-894-5013;514-894-6013
50800;PAQUIN;JONATHAN;4356 LACHANCE;LONGUEUIL;J9H2N7;514-489-4063;514-894-5063;514-894-6063
50900;PICARD;MARC;3323 NGUYEN;MONTREAL;H5J8G4;514-489-4029;514-894-5029;514-894-6029
51000;POTVIN;JORDAN;4356 LACHANCE;LONGUEUIL;J3D5G7;514-489-4070;514-894-5070;514-894-6070
51100;RAYMOND;GUILLAUME;4901 MCNEIL;MONTREAL;H9F2N5;514-489-4020;514-894-5020;514-894-6020
60000;RENAUD;FRANCOIS;6789 TOURVILLE;LAVAL;J9N1F5;514-489-4038;514-894-5038;514-894-6038
60100;RIOUX;LUC;4358 VILLA;LONGUEUIL;J2F7H2;514-489-4050;514-894-5050;514-894-6050
60200;ROBERT;FRANCOIS;4355 VERONNEAU;LONGUEUIL;J8W3G7;514-489-4011;514-894-5011;514-894-6011
60300;ROBITAILLE;ANDRE;4355 VERONNEAU;LONGUEUIL;J2A9F3;514-489-4064;514-894-5064;514-894-6064
60400;ROUSSEAU;SIMON;654 MIMEAULT;ST-LAURENT;H5N7V3;514-489-4007;514-894-5007;514-894-6007
60500;TARDIF;KEVIN;1426 LAZARESCU;LAVAL;J3U6A1;514-489-4046;514-894-5046;514-894-6046
60600;TESSIER;ANTHONY;11259 HARVEY;MONTREAL;H4B6F2;514-489-4044;514-894-5044;514-894-6044
60700;TRUDEL;MATHIEU;600 CHAREST;BOUCHEVILLE;J1U7F7;514-489-4027;514-894-5027;514-894-6027
60800;VACHON;DANIEL;1424 PIOGER;MONTREAL;H6B4E2;514-489-4021;514-894-5021;514-894-6021
60900;VAILLANCOURT;MATHIEU;4360 CHARBONNEAU;MONTREAL;H7Y2S4;514-489-4041;514-894-5041;514-894-6041
61000;VEILLEUX;MARC;3323 NGUYEN;MONTREAL;H5J8G4;514-489-4069;514-894-5069;514-894-6069
61100;VILLENEUVE;KEVIN;1426 LAZARESCU;LAVAL;J3U6A1;514-489-4006;514-894-5006;514-894-6006
